key,value,reference value,description
inapp_portal.subscription.extend.header,,Extend your subscription,Extend your subscription
inapp_portal.subscription.extend.submit,,Extend for another %{extension_period},Extend for another %{extension_period}
inapp_portal.subscription.extend.expiry.warning,,Your current plan will expire on %{sub_cancel_date},Your current plan will expire on %{sub_cancel_date}
inapp_portal.subscription.extend.info,,Charges for extending your plan will be applicable on %{sub_cancel_date},Charges for extending your plan will be applicable on %{sub_cancel_date}
inapp_portal.subscription.extend.thankyou.header,,Thank you for extending the subscription,Thank you for extending the subscription
inapp_portal.subscription.extend.thankyou.body,,Your subscription has been extended for another %{extension_period},Your subscription has been extended for another %{extension_period}
inapp_portal.subscription.extend.thankyou.close,,CLOSE,CLOSE
inapp_portal.review.pm.header,,Payment,Payment
inapp_portal.review.pm.not_available,,No payment method available,No payment method available
inapp_portal.home.note,,,
inapp_portal.account.note,,,
inapp_portal.edit_account.note,,,
inapp_portal.address.note,,,
inapp_portal.edit_shipping_address.note,,,
inapp_portal.edit_billing_address.note,,,
inapp_portal.edit_subscription_cf.note,,,
inapp_portal.payment_method.note,,,
inapp_portal.subscription.note.trial,,,
inapp_portal.subscription.note.active,,,
inapp_portal.subscription.note.future,,,
inapp_portal.subscription.note.non_renewing,,,
inapp_portal.subscription.note.cancelled,,,
inapp_portal.subscription.note.cancellation_scheduled,,,
inapp_portal.estimate_display_screen.header,,Your order summary,Your order summary
inapp_portal.manage_pm.redirect.label,,Go to app,Go to app
inapp_portal.threeds.warning,,You may be redirected to your bank page for 3D secure verification.,You may be redirected to your bank page for 3D secure verification.
inapp_portal.3ds.auth.txt,,I authorize %{organisation_name} to save this payment method and automatically charge this payment method whenever a subscription is associated with it.,I authorize %{organisation_name} to save this payment method and automatically charge this payment method whenever a subscription is associated with it.
inapp_portal.home.promotions.link_text,,Refer & Earn,Refer & Earn
inapp_portal.promotions.header,,Promotions,Promotions
inapp_portal.subscription.note.pause_subscription,,,
inapp_portal.setup_password.section.name,,Set up Password,Set up Password
inapp_portal.setup_password.header,,Set up your Password,Set up your Password
inapp_portal.change_password.section.name,,Change Password,Change Password
inapp_portal.change_password_verify.header,,Change your Password,Change your Password
inapp_portal.verify_otp.header,,Enter OTP,Enter OTP
inapp_portal.change_password_verify.next,,Proceed,Proceed
inapp_portal.change_password_verify.current_password.label,,Enter your current password,Enter your current password
inapp_portal.change_password.header,,Enter new password,Enter new password
inapp_portal.new_password.label,,Enter new password,Enter new password
inapp_portal.new_password.update_btn,,Update,Update
inapp_portal.password.validation.desc,,Your password must have,Your password must have
inapp_portal.password.validation.min_char,,At least 8 characters,At least 8 characters
inapp_portal.password.validation.number,,At least one number,At least one number
inapp_portal.password.validation.special,,"At least one special character @$!%*#?&() ","At least one special character @$!%*#?&() "
inapp_portal.subscription.summary.additionalInfo,,,
inapp_portal.child_subscription.summary.additionalInfo,,,
inapp_portal.contract_term.summary.title,,Subscription Terms,Subscription Terms
inapp_portal.contract_term.summary.total_contract_value,,Total contract value,Total contract value
inapp_portal.contract_term.summary.billing_cycle,,Billing cycles,Billing cycles
inapp_portal.contract_term.summary.end_action_renew,,Contract renews,Contract renews
inapp_portal.contract_term.summary.end_action_evergreen,,Contract ends,Contract ends
inapp_portal.contract_term.summary.end_action_evergreen_sub_active,,subscription will remain active,subscription will remain active
inapp_portal.contract_term.summary.end_action_cancel,,Contract ends,Contract ends
inapp_portal.contract_term.summary.end_action_renew_once,,"Contract renews for one more term on ","Contract renews for one more term on "
inapp_portal.contract_term.details.header.title,,Contract Summary,Contract Summary
inapp_portal.contract_term.details.tcv.title,,Total contract value,Total contract value
inapp_portal.contract_term.details.term.title,,Contract term,Contract term
inapp_portal.contract_term.details.term.to,,to,to
inapp_portal.contract_term.details.bill_cyc.title,,Billing cycles,Billing cycles
inapp_portal.contract_term.details.bill_cyc.total,,Total,Total
inapp_portal.contract_term.details.bill_cyc.billed,,Billed,Billed
inapp_portal.contract_term.details.term_end.title,,On contract term end,On contract term end
inapp_portal.contract_term.details.term_end.renew,,Contract will renew for %{number} billing cycles,Contract will renew for %{number} billing cycles
inapp_portal.contract_term.details.term_end.evergreen,,Contract ends (subscription will remain active),Contract ends (subscription will remain active)
inapp_portal.contract_term.details.term_end.cancel,,Contract and subscription end.,Contract and subscription end.
inapp_portal.contract_term.details.term_end.renew_once,,Contract will renew for one more term.,Contract will renew for one more term.
inapp_portal.contract_term.details.grace_period.title,,Cancel before,Cancel before
inapp_portal.contract_term.details.grace_period.note,,If you do not want your contract to renew.,If you do not want your contract to renew.
inapp_portal.contract_term.details.end_action.cancel.notification,,Your subscription will be canceled at the end of contract term on %{date},Your subscription will be canceled at the end of contract term on %{date}
inapp_portal.contract_term.details.end_action.renew_next_bill_cyc.notification,,Your contract will renew for one more term. Charges will apply until the end of the next contract term.,Your contract will renew for one more term. Charges will apply until the end of the next contract term.
inapp_portal.contract_term.order_summary.tcv,,Total contract value,Total contract value
inapp_portal.contract_term.subscription.note,,This subscription is on contract,This subscription is on contract
inapp_portal.contract_term.cancel.end_action.cancel.title,,Your subscription will be canceled at the end of the contract term on %{date},Your subscription will be canceled at the end of the contract term on %{date}
inapp_portal.contract_term.cancel.end_action.cancel.notification,,Your subscription will remain active and charges will apply until the contract ends. Have questions? Contact us.,Your subscription will remain active and charges will apply until the contract ends. Have questions? Contact us.
inapp_portal.contract_term.cancel.end_action.renew_next_bill_cyc.title,,Your subscription will renew for one more contract term after %{date},Your subscription will renew for one more contract term after %{date}
inapp_portal.contract_term.cancel.end_action.renew_next_bill_cyc.notification,,Your subscription passed the cut-off date for cancellation and will renew for one more term.,Your subscription passed the cut-off date for cancellation and will renew for one more term.
inapp_portal.contract_term.reactivate.confirmation_text,,Your subscription will reactivate without contract terms,Your subscription will reactivate without contract terms
inapp_portal.multi_decimal.quantity.error,,Enter valid quantity,Enter valid quantity
inapp_portal.qty,,Qty,Qty
paynow.button.txt,,Pay now: %{amount},Pay now: %{amount}
paynow.header.txt,,You have %{total} unpaid invoice(s). Your total due is %{amount},You have %{total} unpaid invoice(s). Your total due is %{amount}
paynow.no_invoices.txt,,You have no unpaid invoices,You have no unpaid invoices
paynow.header.choosepm.txt,,Choose Payment Method,Choose Payment Method
paynow.modal.newpm.use,,Use a different payment method,Use a different payment method
paynow.header.addpm.txt,,Add Payment Method,Add Payment Method
paynow.thankyou.header,,Your payment was successful!,Your payment was successful!
paynow.thankyou.body,,,
paynow.thankyou.close,,CLOSE,CLOSE
paynow.modal_button.confirm,,Confirm,Confirm
paynow.modal_button.cancel,,Cancel,Cancel
paynow.payment_method.bacs.guarantee.header,,Back to Payment,Back to Payment
paynow.payment_method.bank_account.btn.proceed_to_review,,Proceed to Review,Proceed to Review
paynow.payment_method.bank_account.btn.enter_iban,,Enter IBAN,Enter IBAN
paynow.payment_method.bank_account.btn.enter_local_details,,Enter local bank details,Enter local bank details
paynow.payment_method.bank_account.btn.enter_your_name,,Enter your name,Enter your name
paynow.payment_method.bank_account.btn.enter_company_name,,Enter company name,Enter company name
paynow.redirect.label,,Go to app,Go to app
paynow.threeds.warning,,You may be redirected to your bank page for 3D secure verification.,You may be redirected to your bank page for 3D secure verification.
paynow.3ds.auth.txt,,I authorize %{organisation_name} to save this payment method and automatically charge this payment method whenever a subscription is associated with it.,I authorize %{organisation_name} to save this payment method and automatically charge this payment method whenever a subscription is associated with it.
inapp_nl_portal.login.txt,,Enter your email address to login,Enter your email address to login
inapp_nl_portal.otp.enter,,Enter the one time password sent to your email to continue,Enter the one time password sent to your email to continue
inapp_nl_portal.password.enter,,Enter the password for your account,Enter the password for your account
inapp_nl_portal.otp.resend,,Resend the one time password,Resend the one time password
inapp_nl_portal.otp.next,,Login,Login
inapp_nl_portal.login.via_otp,,Login via one time password,Login via one time password
inapp_nl_portal.password.use,,Enter password instead,Enter password instead
inapp_nl_portal.login.next,,Continue,Continue
inapp_nl_portal.login.header,,Manage Your Subscriptions,Manage Your Subscriptions
inapp_nl_portal.forgot_password.link.txt,,Forgot password?,Forgot password?
inapp_nl_portal.account.summary.additionalInfo,,,
inapp_checkout.gift.cart.header,,Your gift order,Your gift order
inapp_checkout.gift.cart.header.edit,,Edit your gift order,Edit your gift order
inapp_checkout.gift.cart.next,,Proceed to checkout,Proceed to checkout
inapp_checkout.gift.gift_details.header,,Add your gift details,Add your gift details
inapp_checkout.gift.gift_details.header.edit,,Edit your gift details,Edit your gift details
inapp_checkout.gift.gift_details.update,,Update,Update
inapp_checkout.gift.gift_details.next,,Next,Next
inapp_checkout.gift.gift_details.receiver_info.subheading,,Whom is this gift for?,Whom is this gift for?
inapp_checkout.gift.gift_details.schedule.subheading,,Gift date & time,Gift date & time
inapp_checkout.gift.gift_details.schedule.immediately,,Send immediately,Send immediately
inapp_checkout.gift.gift_details.schedule.date,,Send on specific date and time,Send on specific date and time
inapp_checkout.gift.gift_details.message.subheading,,Personal message,Personal message
inapp_checkout.gift.gift_details.message.helptext,,The message will be sent to the recipient with your gift,The message will be sent to the recipient with your gift
inapp_checkout.gift.gift_details.message.placeholder,,Your gift message,Your gift message
inapp_checkout.gift.customer.header,,Add recipient information,Add recipient information
inapp_checkout.gift.customer.header.edit,,Edit recipient information,Edit recipient information
inapp_checkout.gift.customer.update,,Update,Update
inapp_checkout.gift.customer.next,,Next,Next
inapp_checkout.gift.billing_address.update,,Update,Update
inapp_checkout.gift.billing_address.next,,Next,Next
inapp_checkout.gift.billing_address.header,,Add your billing details,Add your billing details
inapp_checkout.gift.billing_address.header.edit,,Edit your billing details,Edit your billing details
inapp_checkout.gift.shipping_address.header,,Add recipient shipping address,Add recipient shipping address
inapp_checkout.gift.shipping_address.header.edit,,Edit recipient shipping address,Edit recipient shipping address
inapp_checkout.gift.shipping_address.update,,Update,Update
inapp_checkout.gift.shipping_address.next,,Next,Next
inapp_checkout.gift.payment_method.header,,Add your payment information,Add your payment information
inapp_checkout.gift.payment_method.header.edit,,Edit your payment information,Edit your payment information
inapp_checkout.gift.payment_method.update,,Update,Update
inapp_checkout.gift.payment_method.next,,Next,Next
inapp_checkout.gift.review.gift.header,,Gift details,Gift details
inapp_checkout.gift.review.gift.your_message.label,,Personal Message,Personal Message
inapp_checkout.gift.review.gift.from.label,,From,From
inapp_checkout.gift.review.gift.scheduled_at.label,,Scheduled,Scheduled
inapp_checkout.gift.review.gift.immediately.label,,Immediately sent,Immediately sent
inapp_checkout.gift.review.shipping.header,,Recipient shipping address,Recipient shipping address
inapp_checkout.gift.review.account.header,,Recipient details,Recipient details
inapp_checkout.gift.subscription.header,,Add gift subscription details,Add gift subscription details
inapp_checkout.gift.subscription.header.edit,,Edit gift subscription details,Edit gift subscription details
inapp_checkout.gift.subscription.update,,Update,Update
inapp_checkout.gift.subscription.next,,Next,Next
inapp_checkout.gift.review.header,,Complete your order,Complete your order
inapp_checkout.gift.review.btn.txt,,Pay %{amount} & place gift order,Pay %{amount} & place gift order
inapp_checkout.gift.thankyou.header,,,
inapp_checkout.gift.thankyou.body,,,
inapp_checkout.gift.thankyou.close,,CLOSE,CLOSE
inapp_checkout.gift.review.self_gift.warning,,You seem to be sending the gift to your own email address.,You seem to be sending the gift to your own email address.
inapp_checkout.gift.payment_method.note.plan.no_trial,,,
inapp_checkout.gift.cart.note.plan.no_trial,,,
inapp_checkout.gift.review.note.plan.no_trial,,,
inapp_checkout.gift.customer.note,,,
inapp_checkout.gift.subscription.note,,,
inapp_checkout.gift.shipping_address.note,,,
inapp_checkout.gift.billing_address.note,,,
inapp_checkout.gift.review.threedsWarning.non_trial,,You may be redirected to your bank page for 3D secure verification.,You may be redirected to your bank page for 3D secure verification.
inapp_checkout.gift.review.threedsWarning.trial,,"You may be redirected to your bank page for 3D secure verification for which a token amount may be charged,which will be fully refunded automatically.","You may be redirected to your bank page for 3D secure verification for which a token amount may be charged,which will be fully refunded automatically."
inapp_checkout.gift_claim.modal_button.cancel,,Cancel,Cancel
inapp_checkout.gift_claim.modal_button.confirm,,Confirm,Confirm
inapp_checkout.gift_claim.cart.header,,Your gift,Your gift
inapp_checkout.gift_claim.cart.header.edit,,Your gift,Your gift
inapp_checkout.gift_claim.cart.next,,Proceed to claim,Proceed to claim
inapp_checkout.gift_claim.cart.body_desc,,Congratulations on your gift! You need to claim it to get started!,Congratulations on your gift! You need to claim it to get started!
inapp_checkout.gift_claim.customer.body_desc,,"Here are the details that we have got. You can update this information, if required.","Here are the details that we have got. You can update this information, if required."
inapp_checkout.gift_claim.customer.header,,Add your account information,Add your account information
inapp_checkout.gift_claim.customer.header.edit,,Edit your account information,Edit your account information
inapp_checkout.gift_claim.customer.update,,Update,Update
inapp_checkout.gift_claim.customer.next,,Next,Next
inapp_checkout.gift_claim.shipping_address.header,,Add your shipping address,Add your shipping address
inapp_checkout.gift_claim.shipping_address.header.edit,,Edit your shipping address,Edit your shipping address
inapp_checkout.gift_claim.shipping_address.update,,Update,Update
inapp_checkout.gift_claim.shipping_address.next,,Next,Next
inapp_checkout.gift_claim.shipping_address.body_desc,,,
inapp_checkout.gift_claim.review.shipping.header,,Shipping address,Shipping address
inapp_checkout.gift_claim.review.account.header,,Account,Account
inapp_checkout.gift_claim.review.subscription.header,,Subscription details,Subscription details
inapp_checkout.gift_claim.subscription.header,,Add gift subscription details,Add gift subscription details
inapp_checkout.gift_claim.subscription.header.edit,,Edit gift subscription details,Edit gift subscription details
inapp_checkout.gift_claim.subscription.update,,Update,Update
inapp_checkout.gift_claim.subscription.next,,Next,Next
inapp_checkout.gift_claim.subscription.body_desc,,,
inapp_checkout.gift_claim.review.header,,Claim your gift,Claim your gift
inapp_checkout.gift_claim.review.btn.txt,,Claim Gift,Claim Gift
inapp_checkout.gift_claim.thankyou.header,,,
inapp_checkout.gift_claim.thankyou.body,,,
inapp_checkout.gift_claim.thankyou.close,,CLOSE,CLOSE
inapp_checkout.gift_claim.cart.note.plan.no_trial,,,
inapp_checkout.gift_claim.review.note.plan.no_trial,,,
inapp_checkout.gift_claim.customer.note,,,
inapp_checkout.gift_claim.subscription.note,,,
inapp_checkout.gift_claim.shipping_address.note,,,
